Cantidad de Cardiólogos;
Regiones;Total
Arica y Parinacota;3
Tarapacá;6
Antofagasta;10
Atacama;6
Coquimbo;24
Valparaíso;62
Metropolitana;233
Libertador Bernardo O'Higgins;11
Maule;73
Ñuble;10
Bío Bío;63
Araucanía;30
Los Ríos;11
Los Lagos;24
Aysén;1
Magallanes y la Antártica Chilena;2
Total país;569
;
Cantidad de Oncólogos;
Regiones;Total
Arica y Parinacota;1
Tarapacá;3
Antofagasta;5
Atacama;0
Coquimbo;3
Valparaíso;20
Metropolitana;81
Libertador Bernardo O'Higgins;4
Maule;9
Ñuble;0
Bío Bío;11
Araucanía;10
Los Ríos;4
Los Lagos;3
Aysén;0
Magallanes y la Antártica Chilena;1
Total país;155
