Condiciones de salud en Mayores;Porcentajes (%);;;;
Personas mayores con salud mala o regular;61%;;;;
Personas mayores con algún grado de dependencia;20 - 40%;;;;
Personas mayores de 80 años con algún grado de dependencia;45%;;;;
Sensación de soledad y abandono;49%;;;;
Carecen de necesidad de atención de salud;64%;;;;
;;;;;
;;;;;
;;;;;
Cantidad del adulto mayor a nivel nacional;Periodo y proyección;;;;
2.003.256 (11.4%);2017;;;;
2.260.222 (11.9%);2019;;;;
3.860.000 (19.2%);2024;;;;
Se proyecta el 30% de la población;2050;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Área geográfica;Cantidad de médicos;Porcentaje;N° de medicos por cada 100.000 habitantes;N° de habitantes por médico;Columna1
Norte;2418;8.1%;119.5;837;
Central;21.899;73%;212.1;471.4;
Centro Sur;4.415;14.7%;132.2;756.5;
Sur ;1.264;4.2%;117.5;851;
A nivel nacional;29.996;100%;178.9;558.9;
;;;;;
;;;;;
;;;;;
EDAD PROMEDIO DE LA POBLACION CHILENA;Año;;;;
19.4;1950;;;;
19.49;1955;;;;
19.34;1960;;;;
19.29;1965;;;;
19.7;1970;;;;
20.67;1975;;;;
21.97;1980;;;;
23.42;1985;;;;
24.83;1990;;;;
26.32;1995;;;;
28.03;2000;;;;
29.94;2005;;;;
31.72;2010;;;;
33.33;2015;;;;
34.68;2020;;;;
36.94;2025;;;;
39.46;2030;;;;
42.03;2035;;;;
44.5;2040;;;;
46.82;2045;;;;
48.88;2050;;;;
50.65;2055;;;;
52.17;2060;;;;
53.75;2065;;;;
55.31;2070;;;;
56.69;2075;;;;
57.45;2080;;;;
57.53;2085;;;;
57.47;2090;;;;
57.42;2095;;;;
57.43;2100;;;;
;;;;;
;;;;;
;;;;;
Regiones de Chile;Mayores de 60 años ;;;;
Antofagasta;95855;;;;
Arica y Parinacota;46530;;;;
Atacama;57224;;;;
Aysén;19208;;;;
Biobio;349410;;;;
Coquimbo;175710;;;;
La Araucania;218556;;;;
Los Lagos;178808;;;;
Los Rios;89414;;;;
Magallanes;36747;;;;
Maule;253837;;;;
Metropolitana de Santiago;1481739;;;;
Ñuble;123596;;;;
O'higgins;219489;;;;
Tarapacá;55380;;;;
Valparaíso;456159;;;;
