Año,Ambos sexos (años),Hombres (años),Mujeres (años)
1992,75.1,71.1,79.0
1993,75.2,71.2,79.1
1994,75.3,71.3,79.2
1995,75.4,71.4,79.3
1996,75.6,71.6,79.5
1997,75.7,71.7,79.6
1998,75.8,71.8,79.7
1999,76.0,72.0,79.9
2000,76.2,72.1,80.0
2001,76.3,72.3,80.2
2002,76.5,72.4,80.3
2003,76.7,72.6,80.5
2004,76.9,72.8,80.7
2005,77.0,72.9,80.9
2006,77.2,73.1,81.0
2007,77.4,73.3,81.2
2008,77.6,73.4,81.4
2009,77.8,73.6,81.6
2010,78.0,73.8,81.7
2011,78.1,74.0,81.9
2012,78.3,74.2,82.1
2013,78.5,74.4,82.3
2014,78.7,74.5,82.4
2015,78.9,74.7,82.6
2016,79.1,74.9,82.8
2017,79.3,75.1,83.0
2018,79.5,75.3,83.2
2019,79.6,75.4,83.3
2020,79.8,75.6,83.5
2021,80.0,75.8,83.7
