Región,Población,Cardiólogos por 100 hab,Oncólogos por 100 hab
Arica y Parinacota,226068,0.0013,0.0004
Tarapacá,330558,0.0018,0.0009
Antofagasta,607534,0.0016,0.0008
Atacama,286168,0.0021,0.0000
Coquimbo,757586,0.0032,0.0004
Valparaíso,1815902,0.0034,0.0011
Metropolitana,7112808,0.0033,0.0011
Libertador Bernardo O'Higgins,914555,0.0012,0.0004
Maule,1044950,0.0070,0.0009
Ñuble,480609,0.0021,0.0000
Bío Bío,1556805,0.0040,0.0007
Araucanía,957224,0.0031,0.0010
Los Ríos,384837,0.0029,0.0010
Los Lagos,828708,0.0029,0.0004
Aysén,103158,0.0009,0.0000
Magallanes y la Antártica Chilena,166533,0.0012,0.0006

